,tweet_id,favorite_count,retweet_count
1991-05-08 10:57:34.269775872,673700254269775872,1510,620
1991-05-08 12:27:59.337693185,673705679337693184,1316,430
1991-05-08 12:51:00.090052608,673707060090052608,1161,426
1991-05-08 13:16:51.235921920,673708611235921920,1125,312
1991-05-08 13:39:52.831262724,673709992831262720,892,302
1991-05-08 14:04:35.735838725,673711475735838720,1096,322
1991-05-08 15:17:41.853720576,673715861853720576,3743,2266
1991-05-08 15:25:20.723169284,673716320723169280,3244,827
1991-05-10 15:04:27.907739649,673887867907739648,979,272
1991-05-10 20:13:23.526995968,673906403526995968,3354,1777
1991-05-10 23:50:37.611909120,673919437611909120,1231,392
1991-05-11 10:15:14.389192708,673956914389192704,2063,1049
1991-05-12 00:43:02.932058114,674008982932058112,1267,383
1991-05-12 02:13:04.960745472,674014384960745472,1653,702
1991-05-12 03:35:45.211760640,674019345211760640,1190,332
1991-05-12 05:08:13.172875264,674024893172875264,1885,1338
1991-05-12 08:14:46.168010753,674036086168010752,891,235
1991-05-12 08:50:33.588723717,674038233588723712,1158,447
1991-05-12 10:02:33.264685056,674042553264685056,759,140
1991-05-12 10:45:39.690631169,674045139690631168,1492,698
1991-05-12 12:32:36.661161984,674051556661161984,1537,523
1991-05-12 12:59:46.244734976,674053186244734976,3509,1414
1991-05-12 15:48:08.070742018,674063288070742016,6720,2409
1991-05-12 19:08:05.688614912,674075285688614912,1033,311
1991-05-12 21:14:12.460433408,674082852460433408,788,182
1991-05-14 21:06:08.825880576,674255168825880576,1546,611
1991-05-14 23:09:40.978937856,674262580978937856,1361,493
1991-05-14 23:59:42.246694913,674265582246694912,1725,917
1991-05-15 00:59:24.442398721,674269164442398720,943,250
1991-05-15 01:37:11.610523648,674271431610523648,1660,787
1991-05-15 07:17:17.063053312,674291837063053312,15571,6404
1991-05-15 11:35:41.513269249,674307341513269248,11955,7518
1991-05-15 14:33:27.229923329,674318007229923328,1486,562
1991-05-15 18:08:26.434379776,674330906434379776,591,80
1991-05-16 05:34:28.062928900,674372068062928896,899,337
1991-05-16 11:53:02.723014656,674394782723014656,1581,621
1991-05-16 16:16:59.106390016,674410619106390016,1266,510
1991-05-16 17:59:10.885273600,674416750885273600,718,152
1991-05-16 19:31:44.705744896,674422304705744896,1514,578
1991-05-16 23:35:01.579923456,674436901579923456,1177,423
1991-05-17 02:30:03.907457024,674447403907457024,1119,385
1991-05-17 08:28:00.899788800,674468880899788800,6559,2235
1991-05-18 22:48:31.342424069,674606911342424064,994,111
1991-05-19 05:58:34.662858753,674632714662858752,1589,623
1991-05-19 07:36:55.994089473,674638615994089472,1776,637
1991-05-19 09:10:56.330530816,674644256330530816,1083,299
1991-05-19 09:46:32.044941312,674646392044941312,1508,548
1991-05-19 14:52:35.118911488,674664755118911488,974,274
1991-05-19 16:29:41.682434048,674670581682434048,1709,707
1991-05-19 21:55:35.443775488,674690135443775488,1215,504
1991-05-20 10:58:50.913071104,674737130913071104,677,100
1991-05-20 11:45:53.134403584,674739953134403584,1178,427
1991-05-20 12:28:51.037511680,674742531037511680,516,54
1991-05-20 12:36:48.475090944,674743008475090944,1481,596
1991-05-20 15:10:33.200820224,674752233200820224,1558,505
1991-05-20 15:40:18.082705410,674754018082705408,1439,484
1991-05-20 18:40:17.387900928,674764817387900928,837,259
1991-05-20 19:31:32.831932416,674767892831932416,1946,867
1991-05-20 21:21:21.756377088,674774481756377088,1190,524
1991-05-20 23:22:42.103414784,674781762103414784,2119,1317
1991-05-21 01:15:54.665512960,674788554665512960,854,227
1991-05-21 01:48:08.185167872,674790488185167872,1163,273
1991-05-21 02:36:39.141146624,674793399141146624,2655,1200
1991-05-21 04:35:20.222154752,674800520222154752,3181,936
1991-05-21 05:56:53.498527744,674805413498527744,915,385
1991-05-23 11:56:47.681908736,674999807681908736,2394,1212
1991-05-23 12:52:08.568291329,675003128568291328,1641,510
1991-05-23 13:45:12.288268288,675006312288268288,1030,245
1991-05-23 16:12:21.583413248,675015141583413248,2863,1303
1991-05-24 01:08:18.674663426,675047298674663424,1124,358
1991-05-24 18:21:32.475830276,675109292475830272,2959,1235
1991-05-24 19:01:28.094527488,675111688094527488,1021,276
1991-05-24 19:36:41.096802304,675113801096802304,2081,857
1991-05-25 01:32:33.782571009,675135153782571008,1369,534
1991-05-25 04:24:36.954566656,675145476954566656,2264,986
1991-05-25 04:42:15.592706048,675146535592706048,1272,342
1991-05-25 04:51:45.808306176,675147105808306176,1005,265
1991-05-25 05:30:09.102012420,675149409102012416,3973,1841
